Number,Text,Who,When,Where,What,How,Why
1001,제스자유단이 유튜브 1위를 1달동안 유지하고 있음.,2001,3001,4001,5001,6001,7001
1002,신나리셔스의 유튜브 행보가 조작으로 밝혀짐.,2002,3002,4002,5002,6002,7002
1003,새우연합국의 새우 구출 작전 실패. 옆나라 꽃게국은 전원 생환 성공.,2003,3003,4003,5003,6003,7003
1004,꽃게연합정부가 언론에 꽃게구출작전을 공개하지 않음.,2004,3004,4004,5004,6004,7004
1005,층간 소음 측정 시 실제로 들리는 소음과 기계가 측정하는 소음의 크기가 다르다고 밝혀짐.,2005,3004,4005,5005,6005,7005
1006,층간 소음 문제로 윗집 이웃을 칼로 찔러 죽인 사건이 발생.,2006,3006,4006,5006,6006,7006
1007,학생 1명에게 들어가는 사교육비가 연 평균 5000만원으로 집계.,2007,3007,4007,5007,6007,7007
1008,가자미 심판의 넙치 편파판정이 또 다시 거론. 몸에 맞은 공이었지만 스트라이크 처리.,2008,3008,4008,5008,6008,7008
1009,아프리카 초원 한 쪽에서 동물들이 집단 만취 상태로 발견되었음.,2009,3009,4009,5009,6009,7009
1010,"의회 소속 ""말""의원이 사슴뿔을 달고 동네에서 난동을 부려 경찰에 연행. 노루야캐요를 계속 외쳤다고 함.",2010,3006,4010,5010,6010,7010
1011,"식물 ""모""를 재배하는 농장주 K씨가 경찰에 긴급 체포됨. 씨앗에서 마약성 물질이 발견되었다고 함.",2011,3009,4011,5011,6011,7011
1012,"""김""의원이 대형 마트 주 2일 영업 금지 법안을 발의함. 지역시장 활성화를 위해 대형마트가 파이를 나눠야한다고 주장함.",2012,3012,4012,5012,6012,7012
1013,"""감"" 비서실장이 사원을 사무실로 불러 야근을 제안한 것으로 밝혀짐. 사원은 단 둘이 있었기에 거부할 수 없었다고 함.",2013,3006,4013,5013,6013,7013
1014,"미국에서 ""톰""씨가 기르던 개가 사람에게 총을 쏨.",2014,3014,4014,5014,6014,7014
1015,"착하고 순박하기로 유명한 ""안"" 목사는 사실 UFC 세계 챔피언이었다고 함.",2015,3015,4015,5015,6015,7015